cluster_id,subtype_id,subtype_name
22,483,BRSC
0,386,IFL
8,6,CHB
16,134,ARW
20,464,LPL
19,156,DRLH
24,389,SB
29,0,DUNI
26,382,TRSC
25,454,SMCO
9,66,MSB
20,423,FGSH
23,203,PHD
18,368,LT
5,126,RFG
9,112,SSS
4,356,HYCY
20,342,SNDB
19,437,VAN
24,164,GL7
29,156,DRLH
22,44,TRFU
19,178,SBL
21,39,DBC
26,2,AOBR
22,443,GFNG
25,412,BRDR
19,4,TRPA
17,63,URN
2,178,SBL
20,37,SWTS
9,146,PHH
19,295,EVB
7,115,RSSD
5,198,CTM
18,203,PHD
10,328,OXYS
7,414,SSVC
9,358,QCT
9,208,DBP
14,42,CHSW
24,488,TQC
9,59,VMH
12,400,SPHE
9,463,WTRB
5,474,TRFB
10,388,RBB
13,33,PBS
3,93,EA
10,212,SWU
8,98,GPL
26,351,NGGF
19,254,LSSL
25,364,FSL
8,140,RSAW
9,352,PUSM
4,111,EXFA
11,399,SBV
16,307,CMPR.1.1
3,463,WTRB
11,33,PBS
21,205,SAW.1
11,14,VCCL
19,383,LFTG
17,198,CTM
22,286,ENGH
16,37,SWTS
24,198,CTM
19,240,WDMA
23,328,OXYS
20,209,VBSX
19,188,CBC
26,36,SSRT
19,110,FKT
11,114,TPB
8,285,HV3
22,142,PRK
12,329,E.1.1
19,378,TRBC
22,180,WRFE
8,200,RAB
26,343,GRDS
21,356,HYCY
8,343,GRDS
9,406,CPTD
17,114,TPB
8,199,WPS
10,397,CML
7,306,CNCS
8,287,MEB
26,278,ESC
26,105,SBM
7,287,MEB
20,411,RTRY
19,62,WBC
4,234,AOCH
14,331,TEL
9,12,LIN
24,439,TURF
29,453,TRCD
19,208,DBP
24,309,DG7
25,266,TM
11,296,MLPD
26,140,RSAW
5,196,RCD
26,464,LPL
13,157,TREQ
9,205,SAW.1
19,114,TPB
28,203,PHD
21,148,ABL
5,418,WL
3,470,CNR
17,373,RBE
22,249,VCWD
8,386,IFL
8,38,PFAN
3,77,CDS
19,205,SAW.1
14,128,EVBR
19,347,CCF
4,3,CPHP
2,368,LT
17,478,NGUN
8,189,PSTB
11,266,TM
12,88,CFSM
12,112,SSS
13,247,GEN
26,148,ABL
14,112,SSS
17,70,IMWR
6,321,WRCN
11,289,GEN.1.1
6,30,CMLN
16,59,VMH
5,216,ELCB
18,322,MLTC
9,164,GL7
7,311,PFFT
4,348,KB
14,210,LBLW
21,269,LVL
25,439,TURF
8,478,NGUN
14,266,TM
13,463,WTRB
16,110,FKT
6,81,HH.1
6,16,CHEP
8,348,KB
26,322,MLTC
9,376,LHC
17,59,VMH
18,470,CNR
19,232,SPG
8,170,SFTY
9,170,SFTY
20,148,ABL
12,299,WLCS
20,346,HYHP.1
26,88,CFSM
25,478,NGUN
23,186,HST
26,33,PBS
19,270,PLA
29,30,CMLN
9,133,UTE
6,198,CTM
26,10,EHHK
19,39,DBC
10,126,RFG
29,502,TIR
26,14,VCCL
16,352,PUSM
7,59,VMH
2,136,GEN.1
3,442,CMWR
6,326,SSC
9,15,PPBN
26,77,CDS
2,287,MEB
8,309,DG7
14,198,CTM
14,214,CSG
8,461,RSLK
22,252,GSP
19,310,GRDT
23,89,SMSC
9,14,VCCL
17,328,OXYS
26,360,FJC
9,223,WTRT
18,264,CAPS
5,400,SPHE
7,114,TPB
16,99,HTQ
12,439,TURF
19,297,STPG
15,6,CHB
18,245,SL.1
9,124,MILD
12,142,PRK
19,186,HST
16,260,RSU
2,309,DG7
8,446,QUE.1
20,106,EXTL
8,280,PTHT
19,311,PFFT
26,178,SBL
9,32,LCC
10,344,VBFX
